iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
LBY,Africa,Libya,26.3351,17.228331,2021-09-17,329824,968,4490,10,5039,,,,1381309,1246217,135092,6958538,29,4.424,2.816,17881.509,
LIE,Europe,Liechtenstein,47.14,9.55,2021-09-17,3402,8,60,0,164,64615,0.026,38.5,44789,23699,21383,38254,,,,,
LTU,Europe,Lithuania,55.1694,23.8813,2021-09-17,313692,1211,4763,12,22720,4812417,0.061,16.4,3306744,1716628,1590116,2689862,43.5,19.002,13.778,29524.265,0.7
LUX,Europe,Luxembourg,49.8153,6.1296,2021-09-17,77189,91,834,0,6400,3493106,0.015,68.5,779620,416918,,634814,39.7,14.312,9.842,94277.965,0.2
MDG,Africa,Madagascar,-18.766947,46.869107,2021-09-17,42898,0,958,0,,,,,283091,210666,86090,28427333,19.6,2.929,1.686,1416.44,77.6
MWI,Africa,Malawi,-13.254308,34.301525,2021-09-17,61287,37,2252,1,,,,,974830,742169,469604,19647681,18.1,2.979,1.783,1095.042,71.4
MYS,Asia,Malaysia,4.210484,101.975766,2021-09-17,2067327,17577,22743,388,,,,,39923416,21863951,18135561,32776195,29.9,6.293,3.407,26808.164,0.1
MDV,Asia,Maldives,3.2028,73.2207,2021-09-17,83332,84,229,2,5127,1460154,0.022,46.2,720666,390644,330022,543620,30.6,4.12,2.875,15183.616,
MLI,Africa,Mali,17.570692,-3.996166,2021-09-17,15029,9,545,0,,,,,370529,284052,86477,20855724,16.4,2.519,1.486,2014.306,
MLT,Europe,Malta,35.9375,14.3754,2021-09-17,36927,27,453,1,2601,1211456,0.016,62.4,810125,418251,417636,514564,42.4,19.426,11.324,36513.323,0.2
MRT,Africa,Mauritania,21.0079,-10.9408,2021-09-17,35328,116,763,2,,,,,333089,311544,21545,4775110,20.3,3.138,1.792,3597.633,6
MUS,Africa,Mauritius,-20.348404,57.552152,2021-09-17,14243,170,50,2,,,,,1625865,842642,783223,1273428,37.4,10.945,5.884,20292.745,0.5
MEX,North America,Mexico,23.6345,-102.5528,2021-09-17,3552983,3754,270538,190,7450,9795982,0.358,2.8,94144251,61573170,40997724,130262220,29.3,6.857,4.321,17336.469,2.5
MDA,Europe,Moldova,47.4116,28.3699,2021-09-17,280175,1032,6578,9,,1673626,0.113,8.9,1357495,,750553,4024025,37.6,10.864,6.955,5189.972,0.2
MCO,Europe,Monaco,43.7333,7.4167,2021-09-17,3290,2,33,0,,,,,49980,26672,23308,39520,,,,,
MNG,Asia,Mongolia,46.8625,103.8467,2021-09-17,269476,2796,1083,9,1106416,4973007,0.277,3.6,4367512,2248058,2119454,3329282,28.6,4.031,2.421,11840.846,0.5
MNE,Europe,Montenegro,42.708678,19.37439,2021-09-17,125128,643,1832,10,,,,,432167,229399,202768,628051,39.1,14.762,9.395,16409.288,1
MAR,Africa,Morocco,31.7917,-7.0926,2021-09-17,915835,2412,13828,53,23052,8533903,0.106,9.4,37238088,20362745,16875343,37344787,29.6,6.769,4.209,7485.013,1
MOZ,Africa,Mozambique,-18.665695,35.529562,2021-09-17,149906,102,1903,1,705,878110,0.093,10.7,3427486,1864229,1563257,32163045,17.7,3.158,1.87,1136.103,62.9
MMR,Asia,Myanmar,21.9162,95.956,2021-09-17,442928,2187,16944,75,24822,4002846,0.094,10.6,8184418,4944654,3239764,54806014,29.1,5.732,3.12,5591.597,6.4
